Rank | Key Guess (hex) | Score(RSS_over_POI)
105 | 0xb5           | 7.78091327e-02
106 | 0x46           | 7.76651759e-02
107 | 0xb3           | 7.75805048e-02
108 | 0xe5           | 7.57611125e-02
109 | 0x38           | 7.57562429e-02
110 | 0xd3           | 7.47439469e-02
111 | 0xaa           | 7.46036990e-02
112 | 0x5c           | 7.45983658e-02
113 | 0x94           | 7.45619967e-02
114 | 0x1c           | 7.42893757e-02
115 | 0xa0           | 7.40532316e-02
116 | 0xbd           | 7.39623483e-02
117 | 0xda           | 7.36492963e-02
118 | 0x57           | 7.36198363e-02
119 | 0x50           | 7.33661366e-02
120 | 0x2f           | 7.33106173e-02
121 | 0x75           | 7.30663664e-02
122 | 0x69           | 7.30045309e-02
123 | 0x0b           | 7.29514301e-02
124 | 0x7a           | 7.29224107e-02
125 | 0xc5           | 7.24971787e-02
126 | 0xec           | 7.23893299e-02
127 | 0x4d           | 7.20233260e-02
128 | 0x29           | 7.18940151e-02
129 | 0x09           | 7.11335619e-02
130 | 0xd7           | 7.10747011e-02
131 | 0x62           | 7.08839129e-02
132 | 0xb6           | 7.03689471e-02
133 | 0x0d           | 7.01105792e-02
134 | 0x6b           | 7.00463933e-02
135 | 0x0e           | 6.96598205e-02
136 | 0x89           | 6.87924637e-02
137 | 0x93           | 6.82210306e-02
138 | 0x2c           | 6.76236654e-02
139 | 0x12           | 6.71460932e-02
140 | 0x06           | 6.68835615e-02
141 | 0x26           | 6.68639175e-02
142 | 0xf4           | 6.64018343e-02
143 | 0x85           | 6.63246568e-02
144 | 0xa2           | 6.62509190e-02
145 | 0x6c           | 6.61835544e-02
146 | 0x9c           | 6.59001598e-02
147 | 0xef           | 6.56181017e-02
148 | 0x91           | 6.49971782e-02
149 | 0xae           | 6.41340280e-02
150 | 0x5f           | 6.37369546e-02
151 | 0xde           | 6.35941425e-02
152 | 0x3e           | 6.33708196e-02
153 | 0x16           | 6.30748483e-02
154 | 0x7e           | 6.27813797e-02
155 | 0x01           | 6.24231447e-02
156 | 0xb0           | 6.18640646e-02
157 | 0x4f           | 6.16474579e-02
158 | 0xe1           | 6.12127764e-02
159 | 0xcf           | 6.08595749e-02
160 | 0xcc           | 5.98736037e-02
161 | 0x97           | 5.97737679e-02
162 | 0x7f           | 5.87457473e-02
163 | 0x1d           | 5.87347529e-02
164 | 0xeb           | 5.84142815e-02
165 | 0x58           | 5.83581530e-02
166 | 0xe6           | 5.83357626e-02
167 | 0xb7           | 5.80870318e-02
168 | 0xf6           | 5.79581515e-02
169 | 0x6e           | 5.79370550e-02
170 | 0xc3           | 5.77998978e-02
171 | 0x51           | 5.77263667e-02
172 | 0x54           | 5.75626105e-02
173 | 0x4b           | 5.75466400e-02
174 | 0x2e           | 5.74280013e-02
175 | 0x3f           | 5.71758730e-02
176 | 0x72           | 5.71198861e-02
177 | 0xce           | 5.70220956e-02
178 | 0x3c           | 5.66576076e-02
179 | 0x9e           | 5.65989019e-02
180 | 0xc2           | 5.65027951e-02
181 | 0x52           | 5.62765853e-02
182 | 0x47           | 5.57494526e-02
183 | 0xb1           | 5.56082910e-02
184 | 0x14           | 5.50524383e-02
185 | 0x8c           | 5.49145261e-02
186 | 0x07           | 5.46609279e-02
187 | 0x23           | 5.45885348e-02
188 | 0x32           | 5.36924775e-02
189 | 0x8f           | 5.35414957e-02
190 | 0x28           | 5.33119629e-02
191 | 0x33           | 5.29770570e-02
192 | 0xfd           | 5.29297002e-02
193 | 0xe8           | 5.27780433e-02
194 | 0x31           | 5.27475310e-02
195 | 0xc9           | 5.26908911e-02
196 | 0x92           | 5.25253868e-02
197 | 0x20           | 5.24351402e-02
198 | 0x13           | 5.21906936e-02
199 | 0xf8           | 5.21510343e-02
200 | 0x25           | 5.21220243e-02
201 | 0x98           | 5.20836585e-02
202 | 0x59           | 5.19945382e-02
203 | 0x8e           | 5.19356950e-02
204 | 0x4c           | 5.17965216e-02
205 | 0xf5           | 5.12501922e-02
206 | 0x3a           | 5.10418681e-02
207 | 0x68           | 5.09960364e-02
208 | 0xea           | 5.08629764e-02
209 | 0x99           | 5.07911661e-02
210 | 0x6f           | 5.04726823e-02
211 | 0x43           | 5.04230125e-02
212 | 0xc8           | 4.97764390e-02
213 | 0x5a           | 4.97677778e-02
214 | 0x78           | 4.94177630e-02
215 | 0x48           | 4.90444567e-02
216 | 0x0a           | 4.83270692e-02
217 | 0xdc           | 4.77046408e-02
218 | 0x7b           | 4.75459363e-02
219 | 0x86           | 4.69495710e-02
220 | 0xe2           | 4.68295353e-02
221 | 0x45           | 4.68270895e-02
222 | 0xca           | 4.66496428e-02
223 | 0x1a           | 4.66232821e-02
224 | 0x90           | 4.61841127e-02
225 | 0x67           | 4.53306690e-02
226 | 0x1e           | 4.45095898e-02
227 | 0x95           | 4.41163675e-02
228 | 0x82           | 4.39316233e-02
229 | 0x84           | 4.33741722e-02
230 | 0x6a           | 4.26621176e-02
231 | 0xee           | 4.25010395e-02
232 | 0xa7           | 4.15415992e-02
233 | 0x79           | 4.09759971e-02
234 | 0x5e           | 4.07636189e-02
235 | 0x7d           | 3.93439133e-02
236 | 0xf2           | 3.86878314e-02
237 | 0xff           | 3.80708600e-02
238 | 0x00           | 3.64809560e-02
239 | 0xa8           | 3.54548717e-02
240 | 0xb2           | 3.50980410e-02
241 | 0x39           | 3.49477883e-02
242 | 0xb9           | 3.46794057e-02
243 | 0x73           | 3.23744294e-02
244 | 0xa5           | 3.15906813e-02
245 | 0x44           | 3.15007390e-02
246 | 0x81           | 3.13420222e-02
247 | 0xc7           | 3.13144033e-02
248 | 0xc0           | 3.07545688e-02
249 | 0xd5           | 3.05390533e-02
250 | 0x5b           | 2.99164238e-02
251 | 0xfc           | 2.82033695e-02
252 | 0x9d           | 2.74238865e-02
253 | 0xd1           | 2.70765810e-02
254 | 0xa9           | 2.67410545e-02
255 | 0xa3           | 2.55396403e-02
256 | 0xbe           | 2.47729139e-02
